АЗС_CODE,PRODNAME,TANKNUM,ДАТА,HOUR,КОЛИЧЕСТВО
Z313,АИ-95-К4/К5,1.0,2022-01-05,8,183.79
Z313,АИ-95-К4/К5,1.0,2022-01-05,9,404.37
Z313,АИ-95-К4/К5,1.0,2022-01-05,10,375.95
Z313,АИ-95-К4/К5,1.0,2022-01-05,11,761.42
Z313,АИ-95-К4/К5,1.0,2022-01-05,12,548.0
Z313,АИ-95-К4/К5,1.0,2022-01-05,13,649.3
Z313,АИ-95-К4/К5,1.0,2022-01-05,14,817.83
Z313,АИ-95-К4/К5,1.0,2022-01-05,15,759.88
Z313,АИ-95-К4/К5,1.0,2022-01-05,16,851.36
Z313,АИ-95-К4/К5,1.0,2022-01-05,17,998.42
Z313,АИ-95-К4/К5,1.0,2022-01-05,18,1188.77
Z313,АИ-95-К4/К5,1.0,2022-01-05,19,1726.19
Z313,АИ-95-К4/К5,1.0,2022-01-05,20,1150.63
Z313,АИ-95-К4/К5,1.0,2022-01-05,21,1254.4
Z313,АИ-95-К4/К5,1.0,2022-01-05,22,1154.89
Z313,АИ-95-К4/К5,1.0,2022-01-05,23,711.69
Z313,АИ-95-К4/К5,1.0,2022-01-05,24,282.21
Z313,АИ-92-К4/К5,2.0,2022-01-05,1,1250.54
Z313,АИ-92-К4/К5,2.0,2022-01-05,2,374.4
Z313,АИ-92-К4/К5,2.0,2022-01-05,3,207.79
Z313,АИ-92-К4/К5,2.0,2022-01-05,4,140.9
Z313,АИ-92-К4/К5,2.0,2022-01-05,5,58.34
Z313,АИ-92-К4/К5,2.0,2022-01-05,6,111.72
Z313,АИ-92-К4/К5,2.0,2022-01-05,7,231.56
Z313,АИ-92-К4/К5,2.0,2022-01-05,8,486.69
Z313,АИ-92-К4/К5,2.0,2022-01-05,9,1170.22
Z313,АИ-92-К4/К5,2.0,2022-01-05,10,985.7
Z313,АИ-92-К4/К5,2.0,2022-01-05,11,937.02
Z313,АИ-92-К4/К5,2.0,2022-01-05,12,640.98
Z313,АИ-92-К4/К5,2.0,2022-01-05,13,830.39
Z313,АИ-92-К4/К5,2.0,2022-01-05,14,952.16
Z313,АИ-92-К4/К5,2.0,2022-01-05,15,1076.49
Z313,АИ-92-К4/К5,2.0,2022-01-05,16,1037.06
Z313,АИ-92-К4/К5,2.0,2022-01-05,17,1123.14
Z313,АИ-92-К4/К5,2.0,2022-01-05,18,1736.72
Z313,АИ-92-К4/К5,2.0,2022-01-05,19,1439.35
Z313,АИ-92-К4/К5,2.0,2022-01-05,20,1447.26
Z313,АИ-92-К4/К5,2.0,2022-01-05,21,1690.97
Z313,АИ-92-К4/К5,2.0,2022-01-05,22,1412.76
Z313,АИ-92-К4/К5,2.0,2022-01-05,23,1234.31
Z313,АИ-92-К4/К5,2.0,2022-01-05,24,443.96
Z313,ДТ-К4/К5,3.0,2022-01-05,1,38.33
Z313,ДТ-К4/К5,3.0,2022-01-05,5,100.0
Z313,ДТ-К4/К5,3.0,2022-01-05,7,5.22
Z313,ДТ-К4/К5,3.0,2022-01-05,8,130.0
Z313,ДТ-К4/К5,3.0,2022-01-05,9,649.03
Z313,ДТ-К4/К5,3.0,2022-01-05,10,152.18
Z313,ДТ-К4/К5,3.0,2022-01-05,11,206.52
Z313,ДТ-К4/К5,3.0,2022-01-05,12,274.36
Z313,ДТ-К4/К5,3.0,2022-01-05,13,340.0
Z313,ДТ-К4/К5,3.0,2022-01-05,14,957.46
Z313,ДТ-К4/К5,3.0,2022-01-05,15,759.91
Z313,ДТ-К4/К5,3.0,2022-01-05,16,420.0
Z313,ДТ-К4/К5,3.0,2022-01-05,17,328.49
Z313,ДТ-К4/К5,3.0,2022-01-05,18,194.84
Z313,ДТ-К4/К5,3.0,2022-01-05,19,124.5
Z313,ДТ-К4/К5,3.0,2022-01-05,20,93.48
Z313,ДТ-К4/К5,3.0,2022-01-05,21,352.62
Z313,ДТ-К4/К5,3.0,2022-01-05,22,4.35
Z313,ДТ-К4/К5,3.0,2022-01-05,23,65.22
Z313,ДТ-К4/К5,3.0,2022-01-05,24,180.0
Z313,АИ-92-К4/К5,4.0,2022-01-05,1,365.02
Z313,АИ-92-К4/К5,4.0,2022-01-05,2,73.89
Z313,АИ-92-К4/К5,4.0,2022-01-05,4,16.67
