АЗС_CODE,ДАТА,HOUR,КОЛИЧЕСТВО
Z313,01.04.24,17,3448.38
Z313,01.04.24,18,3716.63
Z313,01.04.24,19,3030.14
Z313,01.04.24,20,2999.48
Z313,01.04.24,21,3143.65
Z313,01.04.24,22,3214.72
Z313,01.04.24,23,3439.42
Z313,01.04.24,24,2864.55
Z313,01.05.22,1,2121.37
Z313,01.05.22,2,1093.2
Z313,01.05.22,3,804.58
Z313,01.05.22,4,555.75
Z313,01.05.22,5,243.33
Z313,01.05.22,6,348.76
Z313,01.05.22,7,271.33
Z313,01.05.22,8,539.34
Z313,01.05.22,9,898.4
Z313,01.05.22,10,1571.18
Z313,01.05.22,11,2361.38
Z313,01.05.22,12,2697.62
Z313,01.05.22,13,2642.46
Z313,01.05.22,14,2512.39
Z313,01.05.22,15,3296.92
Z313,01.05.22,16,2730.36
Z313,01.05.22,17,2819.59
Z313,01.05.22,18,2270.86
Z313,01.05.22,19,1984.92
Z313,01.05.22,20,2501.41
Z313,01.05.22,21,1991.31
Z313,01.05.22,22,1587.39
Z313,01.05.22,23,2303.89
Z313,01.05.22,24,1896.77
Z313,01.05.23,1,2219.08
Z313,01.05.23,2,973.6
Z313,01.05.23,3,647.31
Z313,01.05.23,4,369.97
Z313,01.05.23,5,458.39
Z313,01.05.23,6,139.36
Z313,01.05.23,7,250.97
Z313,01.05.23,8,846.54
Z313,01.05.23,9,1725.05
Z313,01.05.23,10,2512.4
Z313,01.05.23,11,2573.31
Z313,01.05.23,12,2973.81
Z313,01.05.23,13,2920.37
Z313,01.05.23,14,3283.58
Z313,01.05.23,15,2806.28
Z313,01.05.23,16,3160.36
Z313,01.05.23,17,3254.25
Z313,01.05.23,18,3052.08
Z313,01.05.23,19,3240.69
Z313,01.05.23,20,2602.54
Z313,01.05.23,21,3491.71
Z313,01.05.23,22,2952.92
Z313,01.05.23,23,2899.1
Z313,01.05.23,24,1956.58
Z313,01.05.24,1,271.79
Z313,01.05.24,2,581.11
Z313,01.05.24,3,878.68
Z313,01.05.24,4,383.41
Z313,01.05.24,5,183.68
Z313,01.05.24,6,315.67
Z313,01.05.24,7,584.21
Z313,01.05.24,8,655.67
Z313,01.05.24,9,1665.08
Z313,01.05.24,10,2465.89
Z313,01.05.24,11,2645.19
Z313,01.05.24,12,3351.03
Z313,01.05.24,13,3635.21
Z313,01.05.24,14,3773.16
Z313,01.05.24,15,4190.85
Z313,01.05.24,16,3661.33
Z313,01.05.24,17,3394.9
Z313,01.05.24,18,3672.58
Z313,01.05.24,19,3995.29
Z313,01.05.24,20,4018.46
Z313,01.05.24,21,3732.55
Z313,01.05.24,22,3979.6
Z313,01.05.24,23,3426.48
Z313,01.05.24,24,2447.68
Z313,01.06.22,1,1066.29
